date,month,p90DailyEnergyMWh,p10DailyEnergyMWh,meanDailyEnergyMWh,meanMonthlyEnergyMWh,p90MonthlyEnergyMWh,p10MonthlyEnergyMWh
978300000000,1,927.12,54.373333333333335,361.9463184843834,11220.335873015872,16890.486666666664,5588.5
980978400000,2,1073.2066666666674,69.55066666666667,458.87395165823517,12957.726349206354,19377.033333333336,7667.78
983397600000,3,1882.9666666666665,106.81333333333333,868.6237378392216,26927.335873015872,39134.14666666666,17483.753333333334
986076000000,4,2473.88,469.82733333333334,1496.0648253968266,44881.94476190476,50418.26,39839.41333333333
988668000000,5,2514.4733333333334,628.0266666666666,1658.9515309779824,51427.49746031746,60191.01999999999,42975.44666666666
991346400000,6,2559.8560000000007,724.3833333333334,1712.9870899470893,51389.6126984127,57400.920000000006,44889.98666666667
993938400000,7,2681.3599999999997,685.36,1800.172729134664,55805.354603174594,63531.14666666665,50407.42000000001
996616800000,8,2499.433333333334,758.6599999999999,1601.3685816692255,49642.42603174603,59120.55999999998,41543.72666666667
999295200000,9,2535.1693333333337,720.1579999999999,1527.9260211640217,45837.780634920644,51364.500000000015,38958.17333333333
1001887200000,10,2417.7333333333336,666,1465.3759242191502,45426.65365079365,49899.45333333333,41740.18666666667
1004565600000,11,2153.2193333333335,306.37333333333333,1089.4318835978831,32682.95650793651,37910.75333333334,26767.826666666675
1007157600000,12,1386.6,74.96666666666667,552.7986379928315,17136.757777777777,24210.8,11307.119999999997