water_year,volume
1924,31.922281013299997
1925,35.7850554918
1926,32.198333254699996
1927,27.719116988
1928,19.342210438899997
1929,24.247553357699996
1930,30.7268394257
1931,34.7681316929
1932,19.9402416147
1933,38.921067834800006
1934,31.079839744399997
1935,26.754862337000002
1936,38.24441415340001
1937,27.469822239899997
1938,28.8165822818
1939,43.2592924066
1940,31.2548251679
1941,21.7817726367
1942,22.504287105100005
1943,30.202080920500006
1944,32.173308302200006
1945,23.178275200900007
1946,39.7439020386
1947,54.16283785500001
1948,16.0020565245
1949,43.5111330599
1950,39.29416734870001
1951,50.733881494600006
1952,47.401749945999995
1953,35.800576050699995
1954,41.127640441000004
1955,56.0047518029
1956,48.61446404299999
1957,72.75026612219999
1958,36.2945421922
1959,36.8992411193
1960,47.00217422109999
1961,55.00730331249999
1962,66.3133299031
1963,33.7874919047
1964,31.7250686703
1965,39.0455661306
1966,31.936725197599998
1967,58.6289808724
1968,67.4527613827
1969,49.77053918200001
1970,35.237459171000005
1971,26.510290902900003
1972,20.149583618
1973,36.0685173739
1974,50.59811749
1975,49.9682489025
1976,36.913204754999995
1977,59.55442013619999
1978,47.789861485
1979,42.16859022300001
1980,37.3823984749
1981,20.389658077399996
1982,20.9210342774
1983,22.1252242487
1984,24.4145064224
1985,24.7790776235
1986,26.6459689647
1987,25.785139091199998
1988,42.190566901000004
1989,18.4890854941
1990,25.3406204748
1991,16.6841136857
1992,28.2706727478
1993,19.301980269300003
1994,13.9332803893
1995,12.3283758435
1996,18.5493735993
1997,34.814827965899994
1998,33.8715194766
1999,27.9718326218
2000,38.703703906
2001,26.4651452069
2002,34.59753839260001
2003,42.274131524800005
2004,21.8056957741
2005,31.1412645151
2006,46.38773209209999
2007,41.651902744500006
2008,47.8976947177
2009,53.717132598700005
2010,53.365319806500004
2011,39.0791140702
2012,42.52723119750001
2013,42.68743375609999
2014,23.9584486872
2015,32.682065664899994
2016,34.8130349721
2017,50.5953219016
2018,17.541126948
2019,43.54488846950001
2020,43.096522171299995
2021,35.0349195822