month,priceMean,priceWeightedMean,powerMeanMW,priceOffMean,priceOffCoefVar,powerOffMeanMW,priceOffWeightedMean,priceStandardMean,priceStandardCoefVar,powerStandardMeanMW,priceStandardWeightedMean,priceMorningMean,priceMorningCoefVar,powerMorningMeanMW,priceMorningWeightedMean,priceEveningMean,priceEveningCoefVar,powerEveningMeanMW,priceEveningWeightedMean
1,57.222,44.383,165.46,36.238,0.38875,245.12,35.881,74.906,0.33605,95.607,65.113,70.392,0.41718,91.954,59.067,97.317,0.48769,65.272,83.105
2,59.487,49.118,153.99,36.301,0.51401,215.15,37.100,78.174,0.32026,99.079,73.018,75.943,0.43332,107.99,67.005,105.73,0.46019,70.627,95.209
3,53.785,47.292,110.27,32.157,0.54877,138.25,35.837,69.919,0.40842,83.914,62.853,71.769,0.45185,99.447,61.516,99.911,0.45915,65.992,84.554
4,54.050,48.701,127.43,32.075,0.56621,141.26,33.976,70.626,0.41906,113.24,61.467,73.931,0.44648,127.86,68.376,105.06,0.38793,99.341,95.489
5,57.760,49.366,106.43,33.459,0.50815,144.48,36.593,74.150,0.42250,73.482,67.387,79.689,0.40161,79.761,75.575,112.64,0.41452,53.453,106.30
6,73.245,61.550,148.17,41.374,0.45443,204.81,42.029,87.903,0.31525,94.064,83.739,125.22,0.34426,108.64,129.39,139.40,0.28807,85.148,137.87
7,78.327,66.867,184.24,44.859,0.54133,243.99,44.491,91.336,0.29305,128.44,84.788,147.41,0.35819,140.86,158.19,146.57,0.31767,106.81,149.73
8,77.318,62.642,216.03,41.455,0.43329,294.01,41.815,87.855,0.30032,153.16,80.270,149.49,0.32016,145.97,148.57,149.48,0.34035,122.89,133.48
9,63.921,52.512,262.64,38.117,0.44226,341.56,37.513,79.701,0.29647,192.09,73.405,94.405,0.32773,195.19,85.891,136.14,0.52879,142.41,109.68
10,56.415,48.439,306.95,33.609,0.19437,392.63,33.491,70.773,0.16109,247.47,68.903,78.295,0.19439,224.81,75.542,118.63,0.36098,107.26,112.48
11,61.049,50.269,258.99,34.449,0.25125,339.84,34.239,76.454,0.25998,201.37,72.099,84.217,0.23605,176.00,79.416,140.31,0.63162,103.65,127.24
12,59.296,49.830,198.05,37.889,0.51196,260.40,35.818,74.395,0.39580,145.11,72.256,72.140,0.30254,150.11,75.427,127.90,0.91404,70.276,120.15