site1Scale,date,month,p90DailyCapFactor,p10DailyCapFactor,meanDailyCapFactor,medianDailyCapFactor,stdevDailyCapFactor,p90DailySpecificYield,p10DailySpecificYield,meanDailySpecificYield,medianDailySpecificYield,stdevDailySpecificYield,coefVarDailyCapFactor,p90MonthlySpecificYield,p10MonthlySpecificYield,meanMonthlySpecificYield,medianMonthlySpecificYield
0,757375200000,1,0.37804808,0.19640999999999995,0.28736620383582673,0.28780097499999996,0.07058728003793745,9.073153920000001,4.7138399999999985,6.896788892059843,6.9072233999999995,1.694094720910499,0.24563528729448017,264.66041116,202.46578942399995,231.55849252014286,227.80370655
0,760060800000,2,0.38943033333333327,0.19140092500000003,0.2879402219237253,0.28678640000000005,0.07554972166864084,9.346327999999998,4.5936222,6.910565326169409,6.882873600000002,1.8131933200473802,0.26237988275446206,235.33745589,179.23769064,210.70219648028575,208.2982841
0,762480000000,3,0.4093986833333333,0.20103700000000002,0.30787920353720044,0.30946917083333336,0.07840162846983352,9.825568399999998,4.8248880000000005,7.3891008848928035,7.427260100000001,1.881639083276002,0.2546506148160813,275.33124399819127,218.97797728869563,243.062345632882,238.98719028530428
0,765154800000,4,0.4145096416666666,0.23367666666666667,0.3463877198611107,0.37353070833333335,0.0745097571260415,9.9482314,5.60824,8.313305276666664,8.964737,1.788234171024994,0.2151050769233889,273.4020163548,231.9175078598,255.75244414292848,257.9669797
0,767746800000,5,0.4089018749999999,0.30546674166666665,0.36403405232334857,0.3798708333333334,0.053720531344944,9.813645,7.3312018,8.736817255760352,9.116900000000001,1.2892927522786575,0.14757007209102357,278.6679027520001,251.861697422,267.2707596677143,268.14202708
0,770425200000,6,0.3934668333333333,0.319951,0.3646482375496029,0.3748787916666667,0.035714017350779746,9.443204,7.6788240000000005,8.751557701190471,8.997091000000001,0.8571364164187137,0.09794101183862595,267.00605956,237.54097104000004,251.482306032143,252.70315695
0,773017200000,7,0.39382081,0.32267300416666667,0.3635975115495396,0.3751198499999999,0.037652750721089874,9.45169944,7.7441521,8.726340277188926,9.002876399999998,0.9036660173061558,0.10355612875518744,276.9619857026,250.02011812,264.6439760667858,266.64897024999993
0,775695600000,8,0.4046200008333333,0.31715576166666665,0.3687878174923202,0.37870810000000005,0.03781278362305924,9.71088002,7.611738279999999,8.850907619815668,9.0889944,0.9075068069534228,0.10253262670165797,288.526759826,263.82598392200003,276.4432594871428,276.28501992
0,778374000000,9,0.4172446583333334,0.29982839166666664,0.36472132520833295,0.3793603875,0.05629529730285217,10.013871800000002,7.195881399999999,8.753311805,9.1046493,1.351087135268452,0.1543515374942654,286.158178516,247.62970802140003,267.974838466357,271.28871774000004
0,780966000000,10,0.4231790833333334,0.23575393666666666,0.3458528896589862,0.3660617500000001,0.07598490529251489,10.156298000000001,5.65809448,8.300469351815671,8.785482000000002,1.8236377270203545,0.21970296494395822,290.98838640559995,244.340863836,267.1409080488143,267.5484404942
0,783648000000,11,0.40867867083333337,0.1996620375,0.30591357068452363,0.3089240166666667,0.07914446182266922,9.8082881,4.7918889,7.341925696428574,7.4141764000000006,1.8994670837440617,0.25871510585677066,255.78264324799997,209.92947836399998,232.97922983092863,232.115344086
0,786240000000,12,0.3915658375,0.20540429,0.2992249856322443,0.298601375,0.07119532624614247,9.3975801,4.929702959999999,7.18139965517386,7.1664330000000005,1.7086878299074213,0.23793242431179684,264.51131088,209.75674138,229.5339660941567,235.01229702
0.5,757375200000,1,0.38979601,0.2283126675,0.31087638044514765,0.31325980833333333,0.06224259868643989,9.355104240000001,5.47950402,7.461033130683545,7.5182354,1.4938223684745564,0.20021655745384695,264.66041116,202.46578942399995,231.55849252014286,227.80370655
0.5,760060800000,2,0.3939336666666666,0.22064606666666667,0.31077020129835653,0.3135504291666667,0.06567978587506759,9.454407999999999,5.2955056,7.458484831160554,7.525210300000001,1.5763148610016229,0.21134518560874302,235.33745589,179.23769064,210.70219648028575,208.2982841
0.5,762480000000,3,0.40329438083333335,0.23904778525,0.3266967011194651,0.3328873541666667,0.06347184284682109,9.67906514,5.737146846,7.840720826867168,7.9892965,1.5233242283237047,0.1942836968641779,275.33124399819127,218.97797728869563,243.062345632882,238.98719028530428
0.5,765154800000,4,0.40784403583333334,0.2728241929166667,0.3552117279762899,0.3728399204166666,0.05666199599449396,9.78825686,6.54778063,8.525081471430946,8.94815809,1.3598879038678577,0.15951611822421613,273.4020163548,231.9175078598,255.75244414292848,257.9669797
0.5,767746800000,5,0.3967642355833334,0.31212175791666663,0.35923489202649783,0.36865243750000004,0.03908649428170294,9.522341654000002,7.49092219,8.62163740863595,8.847658500000001,0.9380758627608693,0.10880483814144604,278.6679027520001,251.861697422,267.2707596677143,268.14202708
0.5,770425200000,6,0.3765489624999999,0.30507490416666666,0.34928098060019874,0.3586570041666667,0.030870859523863172,9.037175099999999,7.3217976999999985,8.382743534404744,8.6077681,0.740900628572717,0.08838402672488835,267.00605956,237.54097104000004,251.482306032143,252.70315695
0.5,773017200000,7,0.3824616170833334,0.315924075,0.3557042689069701,0.3660166270833333,0.032152373113417496,9.179078810000002,7.5821778,8.536902453767286,8.784399050000001,0.7716569547220195,0.09039074288373676,276.9619857026,250.02011812,264.6439760667858,266.64897024999993
0.5,775695600000,8,0.4012760363833333,0.3322572466666667,0.37156352081605193,0.3781456845833333,0.031446520502568666,9.6306248732,7.974173919999999,8.917524499585255,9.075496430000001,0.7547164920616491,0.08463295975208701,288.526759826,263.82598392200003,276.4432594871428,276.28501992
0.5,778374000000,9,0.4156984781666666,0.31872206,0.372187275647718,0.3842084166666666,0.04633666988747511,9.976763476,7.64932944,8.932494615545243,9.221001999999999,1.1120800772994024,0.12449826450094337,286.158178516,247.62970802140003,267.974838466357,271.28871774000004
0.5,780966000000,10,0.4251672933333333,0.2686777441666666,0.35906036028066424,0.3721108566666667,0.06187588942007101,10.20401504,6.4482658599999985,8.617448646735937,8.93066056,1.4850213460817034,0.17232726378290522,290.98838640559995,244.340863836,267.1409080488143,267.5484404942
0.5,783648000000,11,0.40892528749999996,0.22852232999999994,0.3235822636540673,0.32996600416666666,0.06860112869689124,9.8142069,5.484535919999999,7.765974327697624,7.919184100000001,1.6464270887253896,0.2120052190815711,255.78264324799997,209.92947836399998,232.97922983092863,232.115344086
0.5,786240000000,12,0.3910114333333333,0.23396352583333332,0.31953173083383973,0.32620272291666663,0.060382892854722266,9.3842744,5.6151246200000005,7.668761540012151,7.828865349999999,1.4491894285133353,0.18897307224277543,264.51131088,209.75674138,229.5339660941567,235.01229702
1,757375200000,1,0.4516040666666667,0.19776733666666668,0.33438655705446846,0.34559216666666664,0.09271187916429394,10.8384976,4.74641608,8.025277369307254,8.294212,2.225085099943054,0.27725958836674175,264.66041116,202.46578942399995,231.55849252014286,227.80370655
1,760060800000,2,0.4479026666666667,0.19693343333333332,0.3336001806729877,0.34367914000000005,0.09528293039859036,10.749664000000001,4.7264024,8.006404336151702,8.24829936,2.286790329566169,0.2856201402720212,235.33745589,179.23769064,210.70219648028575,208.2982841
1,762480000000,3,0.433836505,0.2168299316666667,0.3455141987017299,0.3710318166666666,0.08651748414862169,10.41207612,5.203918360000001,8.292340768841507,8.904763599999999,2.0764196195669204,0.25040210930176315,275.33124399819127,218.97797728869563,243.062345632882,238.98719028530428
1,765154800000,4,0.4143520775,0.2640714216666667,0.36403573609146767,0.3907776416666667,0.06408581784833746,9.94444986,6.337714120000001,8.736857666195242,9.3786634,1.538059628360098,0.17604265596670776,273.4020163548,231.9175078598,255.75244414292848,257.9669797
1,767746800000,5,0.39332137816666674,0.30308885,0.3544357317296466,0.3667863333333333,0.04534904858173083,9.439713076000002,7.2741324,8.506457561511521,8.802872,1.08837716596154,0.12794716932298966,278.6679027520001,251.861697422,267.2707596677143,268.14202708
1,770425200000,6,0.36343131666666667,0.28424891666666663,0.333913723650793,0.34749583333333334,0.03991951631246059,8.7223516,6.821974,8.013929367619054,8.3399,0.958068391499053,0.11955039126875905,267.00605956,237.54097104000004,251.482306032143,252.70315695
1,773017200000,7,0.3792245333333334,0.30140480000000003,0.3478110262644006,0.36047725,0.040995215392370436,9.101388800000002,7.233715200000001,8.347464630345616,8.651454000000001,0.983885169416891,0.11786634780579529,276.9619857026,250.02011812,264.6439760667858,266.64897024999993
1,775695600000,8,0.40451500333333335,0.33643445,0.3743392241397849,0.3851764645833333,0.039820978469891105,9.70836008,8.0744268,8.984141379354838,9.24423515,0.9557034832773872,0.10637671903444788,288.526759826,263.82598392200003,276.4432594871428,276.28501992
1,778374000000,9,0.4247203601666667,0.31635010333333335,0.37965322608710345,0.3953033,0.053312313419382196,10.193288644,7.592402480000001,9.111677426090466,9.4872792,1.2794955220651747,0.14042370709935917,286.158178516,247.62970802140003,267.974838466357,271.28871774000004
1,780966000000,10,0.43945117850000004,0.26679724666666665,0.37226783090234283,0.39855080266666665,0.0758115803302161,10.546828284000002,6.40313392,8.934427941656223,9.565219264,1.8194779279251887,0.2036479492371281,290.98838640559995,244.340863836,267.1409080488143,267.5484404942
1,783648000000,11,0.4484539483333333,0.21109039933333332,0.34125095662361116,0.3571515625,0.09177000487215331,10.76289476,5.066169584,8.190022958966663,8.5716375,2.2024801169316786,0.26892233733244203,255.78264324799997,209.92947836399998,232.97922983092863,232.115344086
1,786240000000,12,0.4486519333333335,0.21194465333333334,0.3398384760354352,0.3552278333333333,0.08897379847064538,10.767646400000002,5.08667168,8.156123424850431,8.525468,2.135371163295489,0.2618120217246031,264.51131088,209.75674138,229.5339660941567,235.01229702