date,month,p90DailyCapFactor,p10DailyCapFactor,maxDailyCapFactor,meanDailyCapFactor,maxDailySpecificYield,p90DailySpecificYield,p10DailySpecificYield,meanDailySpecificYield,medianDailySpecificYield,p90DailyEnergyMWh,p10DailyEnergyMWh,meanDailyEnergyMWh,medianDailyEnergyMWh,meanMonthlyEnergyMWh,medianMonthlyEnergyMWh,p90MonthlyEnergyMWh,p10MonthlyEnergyMWh,maxMonthlySpecificYield,meanMonthlySpecificYield,medianMonthlySpecificYield,p90MonthlySpecificYield,p10MonthlySpecificYield
978300000000,1,0.3219166666666667,0.018879629629629628,0.9617986111111113,0.12567580502929968,23.08316666666667,7.726000000000001,0.4531111111111111,3.016219320703192,1.5830555555555557,1236.16,72.49777777777777,482.5950913125109,253.28888888888892,14960.447830687832,12996.75555555556,22520.64888888889,7451.333333333336,715.5781666666668,93.50279894179893,81.22972222222221,140.75405555555557,46.570833333333326
980978400000,2,0.372641203703704,0.024149537037037035,0.9730671296296298,0.15933123321466472,23.353611111111114,8.943388888888897,0.5795888888888889,3.8239495971519544,2.3356666666666666,1430.9422222222233,92.73422222222221,611.8319355443138,373.7066666666666,17276.968465608465,14938.15111111111,25836.04444444445,10223.706666666665,653.9011111111112,107.98105291005294,93.36344444444445,161.47527777777773,63.898166666666654
983397600000,3,0.6538078703703704,0.037087962962962955,0.9710439814814813,0.3016054645275075,23.30505555555555,15.691388888888888,0.8901111111111109,7.238531148660179,5.802833333333332,2510.6222222222223,142.41777777777776,1158.1649837856287,928.4533333333331,35903.114497354494,32391.235555555555,52178.86222222222,23311.67111111111,722.4567222222221,224.39446560846568,202.44522222222224,326.11788888888884,145.69794444444443
986076000000,4,0.8589861111111111,0.16313449074074074,0.9999120370370378,0.5194669532627866,23.99788888888891,20.61566666666667,3.915227777777778,12.467206878306872,12.746694444444444,3298.506666666667,626.4364444444444,1994.7531005290998,2039.4711111111108,59842.593015873026,60108.36444444444,67224.3466666667,53119.21777777777,719.9366666666673,374.01620634920636,375.6772777777778,420.15216666666663,331.9951111111111
988668000000,5,0.8730810185185187,0.2180648148148148,1.000081018518519,0.5760248371451326,24.001944444444455,20.95394444444445,5.233555555555555,13.824596091483194,14.342722222222221,3352.6311111111117,837.3688888888888,2211.935374637311,2294.8355555555554,68569.99661375661,71685.75111111111,80254.69333333334,57300.59555555557,744.0602777777781,428.5624788359789,448.0359444444444,501.5918333333334,358.1287222222222
991346400000,6,0.8888388888888892,0.2515219907407407,1.000268518518519,0.5947871840094062,24.006444444444455,21.33213333333334,6.036527777777777,14.274892416225734,14.649694444444446,3413.1413333333344,965.8444444444444,2283.982786596122,2343.9511111111115,68519.4835978836,69387.54666666666,76534.56,59853.31555555556,720.1933333333336,428.24677248677256,433.6721666666668,478.341,374.0832222222223
993938400000,7,0.9310277777777779,0.23797222222222214,1.000372685185186,0.625059975393981,24.008944444444463,22.34466666666667,5.711333333333331,15.001439409455545,15.465500000000002,3575.146666666667,913.813333333333,2400.230305512888,2474.48,74407.13947089948,74780.31111111114,84708.19555555558,67209.89333333334,744.2772777777784,465.0446216931218,467.3769444444446,529.4262222222223,420.0618333333334
996616800000,8,0.8678587962962964,0.2634236111111111,1.000076388888889,0.5560307575240369,24.001833333333337,20.828611111111112,6.322166666666667,13.344738180576893,13.13588888888889,3332.577777777778,1011.5466666666666,2135.158108892301,2101.742222222222,66189.90137566139,67268.47111111112,78827.41333333333,55391.63555555554,744.0568333333334,413.6868835978836,420.42794444444445,492.6713333333335,346.1977222222223
999295200000,9,0.8802671296296299,0.2500548611111111,1.0003009259259261,0.5305298684597302,24.007222222222225,21.126411111111118,6.001316666666666,12.732716843033504,11.9575,3380.2257777777786,960.2106666666666,2037.23469488536,1913.2,61117.04084656085,62607.44888888888,68486.00000000001,51944.23111111111,720.2166666666667,381.98150529100525,391.2965555555556,428.0375,324.65144444444456
1001887200000,10,0.8394907407407408,0.23125,1.0004444444444451,0.5088110847983164,24.010666666666683,20.14777777777778,5.550000000000001,12.211466035159578,11.660277777777779,3223.6444444444446,888,1953.834565625533,1865.6444444444446,60568.871534391525,61674.52444444443,66532.60444444446,55653.58222222223,744.3306666666672,378.55544708994717,385.46577777777793,415.82877777777776,347.8348888888888
1004565600000,11,0.7476456018518519,0.10637962962962963,1.000314814814815,0.37827495958259866,24.007555555555562,17.943494444444447,2.5531111111111113,9.078599029982362,7.725472222222223,2870.9591111111113,408.4977777777778,1452.5758447971773,1236.0755555555556,43577.27534391534,46105.17333333334,50547.671111111085,35690.43555555555,720.2266666666669,272.3579708994709,288.1573333333333,315.92294444444445,223.06522222222222
1007157600000,12,0.4814583333333333,0.026030092592592594,0.8797060185185187,0.1919439715252889,21.112944444444448,11.555,0.6247222222222223,4.606655316606926,2.7881111111111117,1848.8,99.95555555555556,737.0648506571094,446.0977777777778,22849.010370370368,22369.280000000006,32281.066666666655,15076.16,654.5012777777779,142.8063148148148,139.80800000000002,201.75666666666666,94.226